MDTU,|Tr(L)|,ReTr(L),ImTr(L)
719,0.931425,0.197438,0.910258
720,0.932188,0.29866,0.88305
721,0.93459,0.413747,0.838017
722,0.935885,0.39904,0.84655
723,0.935885,0.39904,0.84655
724,0.935317,0.403875,0.843625
725,0.930488,0.379552,0.849558
726,0.930488,0.379552,0.849558
727,0.926678,0.306422,0.87455
728,0.930235,0.296525,0.881708
729,0.93571,0.323911,0.877858
730,0.93571,0.323911,0.877858
731,0.93571,0.323911,0.877858
732,0.935008,0.301638,0.885017
733,0.935008,0.301638,0.885017
734,0.930974,0.268744,0.891342
735,0.931969,0.212439,0.907433
736,0.932826,0.15857,0.91925
737,0.933092,0.206522,0.90995
738,0.936938,0.237704,0.906283
739,0.936938,0.237704,0.906283
740,0.9339,0.159999,0.920092
741,0.933694,0.241425,0.901942
742,0.933694,0.241425,0.901942
743,0.929705,0.319699,0.873008
744,0.929705,0.319699,0.873008
745,0.934226,0.252435,0.899475
746,0.933863,0.226284,0.906033
747,0.93142,0.260157,0.89435
748,0.937251,0.307347,0.885425
749,0.935432,0.27344,0.894575
750,0.931569,0.231097,0.90245
751,0.931569,0.231097,0.90245
752,0.935014,0.0517043,0.933583
753,0.929775,0.0785633,0.92645
754,0.936372,0.250084,0.902358
755,0.931777,0.210125,0.907775
756,0.934262,0.0822669,0.930633
757,0.934262,0.0822669,0.930633
758,0.931552,0.0243645,0.931233
759,0.931552,0.0243645,0.931233
760,0.931552,0.0243645,0.931233
761,0.931552,0.0243645,0.931233
762,0.92643,-0.0455776,0.925308
763,0.92805,-0.0941033,0.923267
764,0.92805,-0.0941033,0.923267
765,0.92805,-0.0941033,0.923267
766,0.929339,-0.160308,0.915408
767,0.929339,-0.160308,0.915408
768,0.929339,-0.160308,0.915408
769,0.932194,-0.09913,0.926908
770,0.932194,-0.09913,0.926908
771,0.933602,-0.0865275,0.929583
772,0.93392,-0.089815,0.929592
773,0.93392,-0.089815,0.929592
774,0.93392,-0.089815,0.929592
775,0.93392,-0.089815,0.929592
776,0.934059,-0.155247,0.921067
777,0.933348,-0.176193,0.916567
778,0.932122,0.0301644,0.931633
779,0.934838,0.0665419,0.932467
780,0.935987,0.0735631,0.933092
781,0.935987,0.0735631,0.933092
782,0.93364,-0.0166234,0.933492
783,0.93061,-0.130365,0.921433
784,0.934561,-0.187625,0.915533
785,0.931755,-0.124682,0.923375
