MDTU,S_F
1571,0.995742
1572,0.99825
1573,0.997438
1574,1.0025
1575,1.00461
1576,1.0001
1577,1.00109
1578,0.999937
1579,0.997069
1580,1.0056
1581,0.998354
1582,1.00104
1583,1.00135
1584,1.00079
1585,1.00736
1586,1.00046
1587,0.996887
1588,0.995907
1589,0.995577
1590,1.00565
1591,0.995614
1592,0.99809
1593,0.999939
1594,1.00226
1595,1.00371
1596,0.996542
1597,0.995178
1598,0.995311
1599,1.00158
1600,1.00172
1601,0.998857
1602,0.99902
1603,0.99417
1604,0.994355
1605,1.00068
1606,1.00667
1607,0.993602
1608,0.999223
1609,1.0031
1610,1.00224
1611,1.00419
1612,0.999224
1613,1.00588
1614,1.00537
1615,0.999989
1616,1.00286
1617,1.00038
1618,0.995533
1619,0.993648
1620,1.00263
1621,1.00351
1622,1.00297
1623,0.995885
1624,0.997841
1625,0.994175
1626,0.992268
1627,1.00222
1628,1.00289
1629,0.992753
1630,0.996559
1631,0.998498
1632,0.996823
1633,0.998959
1634,1.0028
1635,1.00015
1636,0.998646
1637,1.00434
1638,1.00405
1639,0.999738
1640,1.00516
1641,0.996903
1642,0.999229
1643,0.999475
1644,0.999482
1645,0.999198
1646,1.00416
1647,0.993119
1648,0.999488
1649,0.998637
1650,0.997005
1651,1.00093
1652,1.01023
1653,1.00187
1654,1.00274
1655,0.997903
1656,1.00017
1657,1.00333
1658,1.00336
1659,0.99435
1660,0.999316
1661,1.00285
1662,0.99781
1663,0.997892
1664,1.00197
1665,0.997332
1666,1.00563
1667,1.00196
1668,0.996965
1669,0.998233
1670,0.995534
1671,0.998797
1672,1.00408
1673,1.00134
1674,0.997448
1675,1.00267
1676,0.997572
1677,1.00087
1678,0.99455
1679,0.992015
1680,0.998072
1681,0.99868
1682,1.00234
1683,0.994004
1684,0.999885
1685,1.00365
1686,1.00173
1687,0.993687
1688,0.994483
1689,1.00014
1690,1.00398
1691,0.995567
1692,1.00479
1693,0.997277
1694,1.0015
1695,1.00286
1696,1.00367
1697,0.997352
1698,0.998298
1699,0.998612
1700,1.00543
1701,1.00166
1702,0.997303
1703,1.00535
1704,0.99855
1705,1.00014
1706,0.999935
1707,1.004
1708,0.996325
1709,0.997346
1710,1.00475
1711,1.00512
1712,1.00236
1713,0.998102
1714,1.00268
1715,1.00702
1716,0.99736
1717,1.00589
1718,1.00079
1719,0.997709
1720,0.997681
1721,1.00612
1722,1.00412
1723,0.999426
1724,1.00057
1725,0.999091
1726,1.0034
1727,1.00366
1728,1.00278
1729,0.997936
1730,1.00563
1731,0.999914
1732,0.998164
1733,1.00105
1734,1.00143
1735,1.00344
1736,0.999771
1737,0.997705
1738,1.00344
1739,1.00236
1740,0.999175
1741,0.998255
1742,1.00494
1743,1.0017
1744,1.0009
1745,1.00438
1746,0.999994
1747,1.00294
1748,1.00378
1749,1.00253
1750,0.999271
1751,0.99849
1752,0.999228
1753,1.01197
1754,1.00091
1755,1.00354
1756,0.997775
1757,0.998331
1758,1.00056
1759,1.00063
1760,1.00343
1761,1.00569
1762,1.00471
1763,1.00277
1764,1.00233
1765,0.998033
1766,0.998472
1767,1.00075
1768,1.00187
1769,1.00071
1770,1.00044
1771,1.00034
1772,1.002
1773,0.998044
1774,1.00266
1775,1.00148
1776,0.995312
1777,1.00369
1778,0.99667
1779,1.0049
1780,0.997911
1781,0.99727
1782,1.00039
1783,1.00826
1784,1.00013
1785,1.0057
1786,0.996094
1787,0.995597
1788,0.999093
1789,0.994223
1790,1.00112
1791,1.00183
1792,1.0029
1793,0.998949
1794,0.998593
1795,0.999509
1796,0.998154
1797,1.00715
1798,1.00185
1799,0.997797
1800,1.00385
1801,0.999479
1802,1.0044
1803,1.00323
1804,0.998519
1805,1.00797
1806,1.00184
1807,1.00012
1808,0.998789
1809,0.999721
1810,0.999349
1811,1.00106
1812,1.00246
1813,0.999293
1814,0.998266
1815,1.00385
1816,0.99985
1817,0.997632
1818,1.00507
1819,1.00604
1820,0.994391
1821,1.00072
1822,1.00116
1823,0.999274
1824,0.999864
1825,1.00068
1826,0.996767
1827,0.996057
1828,0.99957
1829,0.995677
1830,0.998869
1831,0.999872
1832,0.994178
1833,0.994497
1834,1.00097
1835,0.998482
1836,1.00028
1837,0.99732
1838,0.994177
1839,1.0037
1840,0.993112
1841,0.999712
1842,1.00553
1843,1.00484
1844,0.997366
1845,1.00282
1846,1.00426
1847,0.999254
1848,0.999971
1849,1.00035
1850,1.00234
1851,1.00216
1852,0.996808
1853,1.00393
1854,1.00176
1855,1.00441
1856,0.996503
1857,1.00046
1858,1.00371
1859,1.00103
1860,1.00048
1861,0.999061
1862,1.00183
1863,0.994153
1864,0.999339
1865,1.00666
1866,1.0009
1867,1.00329
1868,1.00148
1869,0.998731
