MDTU,min_min,min_max,max_min,max_max5
321,-0.120518,0.00213949,0.00980961,0.115544
322,-0.150145,0.0132973,-0.00186679,0.132583
323,-0.150145,0.0132973,-0.00186679,0.132583
324,-0.136698,0.00526006,0.00911691,0.122151
325,-0.143961,-0.000694785,0.00342682,0.123692
326,-0.141109,0.0144031,0.00268663,0.121725
327,-0.141109,0.0144031,0.00268663,0.121725
328,-0.141109,0.0144031,0.00268663,0.121725
329,-0.143478,0.0148528,0.00156074,0.126828
330,-0.163908,0.0225656,-0.00332547,0.135852
331,-0.147919,0.0078075,-0.00698393,0.122874
332,-0.166179,0.00114919,-0.0197878,0.125697
333,-0.158187,0.0088358,-0.0172437,0.121747
334,-0.161019,0.00566348,-0.0246683,0.123997
335,-0.166036,0.0036589,-0.0344439,0.118387
336,-0.172619,0.00608709,-0.0310259,0.124388
337,-0.172542,-2.25986e-05,-0.0283854,0.109923
338,-0.18583,-0.00762405,-0.0281425,0.121335
339,-0.168299,-0.010907,-0.017185,0.109578
340,-0.160949,-0.00414107,-0.0316462,0.126527
341,-0.172049,0.00290579,-0.0395175,0.121426
342,-0.153593,-0.000162296,-0.0200409,0.107583
343,-0.153593,-0.000162296,-0.0200409,0.107583
344,-0.153593,-0.000162296,-0.0200409,0.107583
345,-0.162393,-0.015763,-0.0176384,0.111058
346,-0.159585,0.00486805,-0.0231928,0.118956
347,-0.159585,0.00486805,-0.0231928,0.118956
348,-0.159585,0.00486805,-0.0231928,0.118956
349,-0.171962,0.0104948,-0.0249714,0.143564
350,-0.171962,0.0104948,-0.0249714,0.143564
351,-0.148918,0.00376836,-0.0106803,0.123196
352,-0.139131,0.0117934,-0.00173237,0.129017
353,-0.139131,0.0117934,-0.00173237,0.129017
354,-0.153392,0.000679269,-0.00360352,0.117847
355,-0.150422,-0.00156445,-0.0125584,0.118935
356,-0.150422,-0.00156445,-0.0125584,0.118935
357,-0.152194,-0.00569631,-0.0208992,0.122265
358,-0.141835,-0.00446104,-0.0115434,0.107941
359,-0.158557,0.00759129,-0.0150413,0.122561
360,-0.162075,-0.00724354,-0.00148094,0.116035
361,-0.167389,0.0141178,-0.0170388,0.12685
362,-0.154687,-0.00343621,-0.0139733,0.1268
363,-0.154687,-0.00343621,-0.0139733,0.1268
364,-0.135333,-0.00305858,-0.000339044,0.114258
365,-0.165505,0.0128434,-0.0115557,0.130218
366,-0.143479,0.018699,-0.00895909,0.140905
367,-0.158795,0.0163538,-0.00890356,0.130826
368,-0.1539,0.0240028,-0.00544742,0.138498
369,-0.165065,0.0174768,-0.010162,0.136802
370,-0.12414,0.0174422,0.00787913,0.124662
371,-0.148582,0.0188225,-0.00186715,0.139048
372,-0.122209,0.00434065,-0.000367971,0.125607
373,-0.162999,0.0131573,-0.0175314,0.129939
374,-0.162999,0.0131573,-0.0175314,0.129939
375,-0.186676,0.0262284,-0.0101964,0.124523
376,-0.149074,0.0211411,-0.0172022,0.127922
377,-0.155488,0.0127529,-0.00755577,0.132307
378,-0.160956,0.0131051,-0.012934,0.119967
379,-0.18736,0.0196735,-0.0201935,0.134142
380,-0.15819,0.00104792,-0.0214481,0.124388
381,-0.156182,0.00621918,-0.0242343,0.125031
382,-0.156742,0.00509525,-0.0166724,0.122298
383,-0.165689,0.000789692,-0.0136854,0.113631
384,-0.154411,0.00178455,-0.0145266,0.124165
385,-0.168115,0.0046754,-0.0121021,0.117764
386,-0.150048,0.00325265,-0.0105925,0.12193
387,-0.141563,0.00371236,0.00342262,0.114157
388,-0.141563,0.00371236,0.00342262,0.114157
389,-0.139261,0.0115206,-0.00993642,0.129324
390,-0.139332,0.0030629,0.00373373,0.127858
391,-0.150319,0.00280905,0.0106857,0.121891
392,-0.133528,0.00538048,-0.00500394,0.123707
393,-0.13004,0.00200318,-0.00353624,0.108819
394,-0.13004,0.00200318,-0.00353624,0.108819
395,-0.131373,0.00813391,-0.000627349,0.118648
396,-0.147786,-0.00195732,0.00104624,0.120787
397,-0.148424,-0.003323,0.0022315,0.109366
398,-0.143292,0.00533271,-0.00686531,0.117322
399,-0.143292,0.00533271,-0.00686531,0.117322
400,-0.144591,0.00431406,-0.00533719,0.120851
401,-0.137725,0.00181864,-0.0078815,0.127599
402,-0.13814,0.00996278,-0.000288251,0.126441
403,-0.129823,0.0143578,0.00704509,0.133281
404,-0.12146,0.0146809,0.0101013,0.131618
405,-0.141193,0.0207224,-0.00420454,0.130519
406,-0.128024,0.0168703,0.00219874,0.125211
407,-0.135292,0.00229722,-0.00499928,0.130104
408,-0.132921,0.00420525,0.00903821,0.122937
409,-0.142231,0.0146741,0.00152605,0.136085
410,-0.142231,0.0146741,0.00152605,0.136085
411,-0.150122,0.00676312,0.00259891,0.122858
412,-0.150122,0.00676312,0.00259891,0.122858
413,-0.142518,0.000849282,0.00359305,0.119706
414,-0.139813,0.0025836,0.00557701,0.118248
415,-0.139813,0.0025836,0.00557701,0.118248
416,-0.139813,0.0025836,0.00557701,0.118248
417,-0.162603,0.0059558,-0.0247391,0.142068
418,-0.160997,0.00464295,-0.0154173,0.137082
419,-0.15684,0.0121426,-0.0209688,0.1309
420,-0.137744,0.00781713,-0.00885563,0.130423
421,-0.15042,0.00729534,-0.00333981,0.126024
422,-0.137206,0.00746147,0.00360116,0.12039
423,-0.151535,0.0096356,-0.00144692,0.129343
424,-0.137401,-0.00142366,0.00111174,0.132213
425,-0.146208,-0.00268744,-0.00390793,0.117988
426,-0.130975,-0.0155635,0.0067684,0.109694
427,-0.153078,0.0022834,-0.00344619,0.112821
428,-0.146135,0.0126221,-0.00565728,0.122137
429,-0.154598,-0.000144362,-0.00179006,0.124777
430,-0.158137,-0.0088806,-0.00250126,0.116116
