MDTU,0,2,4,6,8,10
2260,0.0236847,0.0238172,0.025171,0.0252639,0.0254482,0.0256287
2270,0.0231375,0.0232359,0.0240696,0.0242258,0.0250829,0.0255197
2280,0.0252432,0.0253547,0.0267346,0.027066,0.027483,0.0276987
2290,0.023723,0.0239458,0.0259044,0.0260486,0.0270329,0.0272366
2300,0.0259843,0.0260782,0.0266191,0.0267016,0.0270109,0.0270711
2310,0.0236842,0.0237203,0.0251728,0.0254502,0.0261525,0.0262735
2320,0.0229248,0.0230135,0.0243107,0.0243568,0.0264471,0.026587
2330,0.0249371,0.0251329,0.0266424,0.0268837,0.0272651,0.0275054
2340,0.0231795,0.0232399,0.0253045,0.0253796,0.025874,0.0260843
2350,0.0234103,0.0234523,0.0261012,0.0261476,0.0270701,0.0273102
2360,0.0220969,0.0221859,0.0242108,0.0242219,0.024744,0.0247733
2370,0.0235345,0.0235531,0.0248395,0.0249842,0.0255615,0.0255766
2380,0.0243869,0.0245975,0.0252173,0.0253702,0.0267811,0.0268578
2390,0.0290913,0.0291226,0.0299521,0.0300684,0.0304937,0.0305119
2400,0.0272474,0.0274217,0.028067,0.0282097,0.0288434,0.0290032
2410,0.023044,0.0231012,0.0243834,0.0247775,0.0261034,0.0261431
2420,0.025306,0.0254583,0.0266403,0.0267804,0.0271463,0.0275542
2430,0.0221695,0.0223235,0.0232819,0.0233606,0.0239417,0.0240534
2440,0.0265643,0.0267023,0.0276997,0.0277433,0.0288448,0.0290942
2450,0.0241404,0.0242903,0.0254647,0.0255099,0.0257007,0.0257436
2460,0.0276748,0.0277561,0.0289093,0.0289678,0.0291717,0.0294991
2470,0.0239109,0.0239631,0.0243206,0.0244465,0.0264722,0.026485
2480,0.0256522,0.0259559,0.0271627,0.0274128,0.0275607,0.0277689
2490,0.0241677,0.0242549,0.0254115,0.025601,0.0275178,0.0276814
2500,0.0218413,0.0219184,0.0234055,0.0234112,0.0245096,0.0246612
2510,0.0244724,0.0246078,0.0257617,0.0258096,0.0261937,0.0265677
2520,0.0253395,0.0254572,0.02662,0.0266515,0.0271984,0.0273098
2530,0.024599,0.0250578,0.0255951,0.0256663,0.0266119,0.0267769
2540,0.0234829,0.0237189,0.024686,0.0248181,0.0253661,0.0254985
2550,0.0250911,0.0252836,0.0266854,0.0267903,0.0270037,0.0270292
2560,0.0259215,0.0261068,0.0266818,0.0266963,0.0280604,0.0283914
2570,0.0262952,0.0266748,0.0276441,0.0277284,0.0278019,0.0278769
2580,0.0251172,0.025156,0.0265845,0.0266302,0.0277759,0.0277964
2590,0.0249819,0.0251442,0.0255217,0.0258724,0.026807,0.0269337
2600,0.0250182,0.0253653,0.0263865,0.0266135,0.0266245,0.0269471
2610,0.0217099,0.0218113,0.0236935,0.0238032,0.0245748,0.0251381
2620,0.0231808,0.0234619,0.0240939,0.0242872,0.0252475,0.02535
2630,0.0238803,0.0240197,0.0258392,0.0258566,0.026298,0.0264436
2640,0.024589,0.0246485,0.0266439,0.0268284,0.0273011,0.0274831
2650,0.0244756,0.0245647,0.0259164,0.0262826,0.0265304,0.0268068
2660,0.0250099,0.0252581,0.0261302,0.0261669,0.0268173,0.0271025
2670,0.0221352,0.0223771,0.0234439,0.0235124,0.0248853,0.0249145
2680,0.0273866,0.0275561,0.0286531,0.0287893,0.0290763,0.0291566
2690,0.0265946,0.0269017,0.0279472,0.028078,0.0288297,0.0292386
2700,0.0257954,0.0259916,0.0267023,0.0267354,0.0286158,0.0289449
2710,0.0246512,0.0247807,0.0260961,0.0261148,0.0267978,0.0270072
2720,0.0233533,0.023449,0.025305,0.0254733,0.0260097,0.0261368
2730,0.0257385,0.0258352,0.0276932,0.027699,0.0283636,0.0286025
2740,0.0255733,0.025854,0.0270013,0.0271988,0.0273184,0.027387
2750,0.0245467,0.0247417,0.0261233,0.0262276,0.0271866,0.0273572
2760,0.024215,0.0244773,0.0251084,0.0254309,0.0261866,0.0263801
2770,0.0234596,0.0234746,0.0255581,0.0256319,0.0263549,0.0265781
2780,0.0233043,0.0233454,0.0240535,0.0243398,0.0266439,0.0267819
2790,0.0250078,0.0251129,0.0268551,0.0268608,0.0270228,0.0270418
2800,0.0243218,0.0246958,0.0248538,0.0253297,0.0266857,0.0268472
2810,0.0254716,0.02556,0.0262992,0.0264833,0.0271988,0.0272275
2820,0.0256927,0.0258051,0.0272507,0.0273525,0.0279906,0.0280108
2830,0.0227209,0.0229581,0.0251397,0.0253477,0.0254024,0.0255143
