t,e^(-dS)
1639,0.812532
1640,0.755104
1641,0.607745
1642,1.305
1643,0.951382
1644,1.16929
1645,1.85299
1646,1.11739
1647,0.636481
1648,0.478356
1649,0.892347
1650,0.706311
1651,1.02214
1652,1.66712
1653,1.22863
1654,0.583565
1655,0.763456
1656,1.20117
1657,0.623255
1658,0.968972
1659,0.724843
1660,0.764755
1661,1.55364
1662,0.518508
1663,0.913045
1664,0.879502
1665,0.715767
1666,0.828532
1667,0.489535
1668,0.698514
1669,2.44098
1670,0.64044
1671,1.08544
1672,1.18756
1673,1.05946
1674,1.11238
1675,0.593333
1676,0.529777
1677,1.19877
1678,0.701875
1679,1.0926
1680,0.761397
1681,0.631284
1682,0.885148
1683,1.1047
1684,0.716125
1685,0.649599
1686,1.12277
1687,2.04562
1688,1.87442
1689,0.76399
1690,1.62596
1691,0.675096
1692,0.905489
1693,1.87199
1694,1.22875
1695,1.1748
1696,1.42732
1697,0.714123
1698,1.7037
1699,0.804367
1700,1.08014
1701,1.18128
1702,0.889674
1703,0.779814
1704,0.650704
1705,1.04639
1706,1.51619
1707,0.609937
1708,0.920857
1709,1.19148
1710,0.965287
1711,1.2482
1712,0.584733
1713,1.25948
1714,0.754802
1715,1.1897
1716,0.536655
1717,1.55691
1718,0.796522
1719,1.18922
1720,0.772055
1721,1.05981
1722,0.6398
1723,0.841979
1724,0.583098
1725,0.691702
1726,0.511657
1727,1.21106
1728,1.41496
1729,0.499274
1730,0.961799
1731,1.01535
1732,1.13281
1733,0.669516
1734,0.794454
1735,0.549031
1736,0.965634
1737,0.925547
1738,0.82961
1739,0.831603
1740,0.606349
1741,1.61801
1742,1.15419
1743,1.05425
1744,0.792233
1745,1.30656
1746,0.720795
1747,0.548976
1748,0.948399
1749,0.889229
1750,1.05388
1751,1.50561
1752,0.995077
1753,0.799075
1754,0.96384
1755,0.858559
1756,1.09422
1757,0.911184
1758,0.817994
1759,0.769819
1760,1.39962
1761,0.733814
1762,1.61139
1763,0.727967
1764,2.22688
1765,0.811963
1766,0.87136
1767,1.21434
1768,0.890208
1769,1.21046
1770,0.861569
1771,0.834769
1772,1.04159
1773,1.41397
1774,1.13917
1775,1.52014
1776,0.701664
1777,0.813589
1778,0.498027
1779,1.47226
1780,0.665777
1781,0.89208
1782,0.877042
1783,1.20551
1784,0.94484
1785,1.83217
1786,0.434265
1787,0.886477
1788,0.63916
1789,0.839121
1790,1.00091
1791,0.971455
1792,0.842822
1793,0.490564
1794,0.566884
1795,1.05087
1796,0.456393
1797,0.929303
1798,0.625502
1799,0.877744
1800,0.937921
1801,1.23726
1802,0.776934
1803,0.679499
1804,0.784428
1805,1.3046
1806,0.966717
1807,0.984511
1808,1.16172
1809,1.38763
1810,0.910911
