MDTU,min_ave,max_ave
903,-0.0698412,0.0432752
904,-0.0781322,0.0455093
905,-0.0730962,0.0446133
906,-0.0620891,0.0550052
907,-0.0598567,0.0528786
908,-0.0528162,0.056253
909,-0.0562415,0.0578103
910,-0.0674234,0.0474711
911,-0.0673336,0.0482598
912,-0.0673336,0.0482598
913,-0.0591908,0.0540298
914,-0.0591908,0.0540298
915,-0.0591908,0.0540298
916,-0.0620718,0.0567509
917,-0.0573522,0.0549826
918,-0.0660963,0.0573837
919,-0.0652469,0.0548077
920,-0.0718505,0.0533096
921,-0.0732039,0.046845
922,-0.0758358,0.0418132
923,-0.0754076,0.0458887
924,-0.0677862,0.0537197
925,-0.0676634,0.0534843
926,-0.0676634,0.0534843
927,-0.0640887,0.0474887
928,-0.0593542,0.0555496
929,-0.0765062,0.044613
930,-0.0654466,0.0501301
931,-0.0688109,0.0530756
932,-0.0705079,0.0493711
933,-0.0656476,0.0530489
934,-0.0673408,0.0560887
935,-0.0616638,0.0532543
936,-0.0646761,0.0550881
937,-0.0630901,0.0558497
938,-0.0590499,0.056052
939,-0.0584618,0.0641711
940,-0.059921,0.0671498
941,-0.0628189,0.0544629
942,-0.0750227,0.0462775
