t,|deltaS|
1389,0.1574
1390,0.5635
1391,0.8571
1392,0.4664
1393,0.6692
1394,0.3613
1395,0.06452
1396,0.1314
1397,0.5762
1398,0.1219
1399,0.7155
1400,0.2401
1401,0.7971
1402,0.1965
1403,0.2349
1404,0.7819
1405,1.015
1406,0.05309
1407,0.2591
1408,0.4068
1409,0.2248
1410,0.0279
1411,0.1045
1412,0.7447
1413,0.09827
1414,0.1113
1415,0.2203
1416,0.4349
1417,0.08422
1418,0.2178
1419,0.1334
1420,0.07764
1421,0.5742
1422,0.5229
1423,1.157
1424,0.1203
1425,0.04744
1426,0.08605
1427,0.04987
1428,0.129
1429,0.002887
1430,0.3739
1431,0.6239
1432,0.1314
1433,0.2089
1434,1.025
1435,0.1845
1436,0.5969
1437,0.5662
1438,0.3723
1439,0.2688
1440,0.6759
1441,0.04631
1442,0.9224
1443,0.1203
1444,0.8443
1445,0.606
1446,0.2926
1447,0.4834
1448,0.05445
1449,0.02217
1450,0.2975
1451,0.2529
1452,0.07992
1453,0.43
1454,0.3665
1455,0.3175
1456,0.01921
1457,0.2031
1458,0.1494
1459,0.582
1460,0.7171
1461,0.2085
1462,0.4688
1463,0.5779
1464,0.9064
1465,0.1942
1466,0.4882
1467,0.6901
1468,0.7569
1469,0.1738
1470,0.1928
1471,0.3421
1472,0.07308
1473,0.1328
1474,0.07639
1475,0.475
1476,1.014
1477,0.103
1478,0.8321
1479,0.1799
1480,0.2701
1481,0.4132
1482,0.119
1483,0.2856
1484,0.4703
1485,0.8114
1486,0.3209
1487,0.5845
1488,0.7902
1489,0.2501
1490,0.451
1491,0.5715
1492,0.03498
1493,0.2571
1494,0.2715
1495,0.3477
1496,0.1535
1497,0.4297
1498,0.03331
1499,0.06269
1500,0.1335
1501,0.4928
1502,0.5832
1503,0.02142
1504,0.7965
1505,0.08017
1506,0.4057
1507,0.1227
1508,0.6851
1509,0.09683
1510,0.06832
1511,1.358
1512,0.4565
1513,0.08076
1514,0.5862
1515,0.287
1516,0.3717
1517,0.735
1518,1.303
1519,0.2628
1520,0.645
1521,0.5197
1522,0.1047
1523,0.4018
1524,1.121
1525,0.1775
1526,0.2303
1527,0.1102
1528,0.3231
1529,0.2419
1530,0.1083
1531,0.4448
1532,0.2158
1533,0.4427
1534,0.2208
1535,0.3659
1536,0.2905
1537,0.2922
1538,0.4772
1539,0.4459
1540,0.007777
1541,0.4939
1542,0.09018
1543,0.1347
1544,0.256
1545,0.2165
1546,0.03916
1547,0.006595
1548,0.3862
1549,0.1998
1550,0.2702
1551,0.914
1552,0.1186
1553,0.8121
1554,0.7149
1555,0.3337
1556,0.4536
1557,0.04058
1558,0.3349
1559,0.5013
1560,0.6866
1561,0.03398
1562,0.3207
1563,0.02114
1564,0.1581
1565,0.3657
1566,0.3806
1567,0.08463
1568,0.1147
1569,0.005056
1570,1.197
1571,0.21
1572,0.1244
1573,0.4141
1574,0.8655
1575,0.2106
1576,0.0223
1577,0.5683
1578,0.8655
1579,0.1131
1580,0.7398
1581,0.7867
1582,0.5143
1583,1.341
1584,0.6465
1585,0.3549
1586,0.2933
1587,0.3144
1588,0.2464
1589,0.8805
1590,0.3965
1591,1.072
1592,0.1753
1593,0.04317
1594,0.6016
1595,0.3696
1596,0.4371
1597,0.2794
1598,0.4552
1599,0.7974
1600,0.1329
1601,0.504
1602,0.4557
1603,0.8197
1604,0.5758
1605,0.1782
1606,0.05588
1607,0.4095
1608,0.3862
1609,0.3866
1610,0.6294
1611,0.1259
1612,0.2407
1613,0.3829
1614,0.2949
1615,0.3942
1616,0.6425
1617,0.04645
1618,0.05738
1619,0.5063
1620,0.5382
1621,0.4055
1622,0.5408
1623,0.9111
1624,0.3739
1625,0.06975
1626,0.1032
1627,0.3905
1628,0.405
1629,0.325
1630,0.9456
1631,1.061
1632,0.07621
1633,0.001792
1634,0.01662
1635,0.1467
1636,0.1396
1637,0.3846
1638,0.4024
1639,0.5265
1640,0.003513
1641,0.3736
1642,0.1362
1643,0.9901
1644,0.6147
1645,0.9364
1646,0.3075
1647,0.2801
1648,0.3199
1649,0.634
1650,0.03618
1651,0.1004
1652,0.1843
1653,0.2281
1654,0.4468
1655,0.4639
1656,0.3851
1657,0.3441
1658,1.003
1659,0.8425
1660,0.6663
1661,0.5059
1662,0.09325
1663,0.5597
1664,0.2019
1665,0.5264
1666,0.2852
1667,0.8948
1668,0.04271
1669,0.2018
1670,0.3927
1671,0.06589
1672,0.5887
1673,0.7238
1674,0.2668
1675,0.6699
1676,0.9852
1677,0.4171
1678,0.4338
1679,0.2407
1680,0.09767
1681,0.5149
1682,0.19
1683,0.3306
1684,0.6434
1685,0.2955
1686,0.243
1687,0.1699
1688,0.05707
1689,1.035
1690,0.3614
1691,0.2452
1692,0.4351
1693,0.8726
1694,0.4983
1695,0.8607
1696,0.3016
1697,0.1064
1698,0.3494
1699,0.2442
1700,0.1788
1701,0.5346
1702,0.3229
1703,0.4242
1704,0.5145
1705,0.02842
1706,0.2917
1707,0.4329
1708,0.2882
1709,0.2429
1710,0.7292
1711,0.407
1712,0.4547
1713,0.5046
1714,0.0005466
1715,0.7297
1716,0.1666
1717,1.054
1718,0.6898
1719,0.7914
1720,0.4454
1721,0.07087
1722,0.03847
1723,0.2003
1724,0.5522
1725,0.1734
1726,0.4013
1727,0.2388
1728,0.02182
1729,0.08126
1730,0.058
1731,0.06947
1732,0.3026
1733,0.627
1734,0.2579
1735,0.7295
1736,0.1429
1737,0.4641
1738,0.248
1739,0.1674
1740,0.8373
1741,0.1836
1742,0.3052
1743,0.5051
1744,0.65
1745,0.277
1746,0.6297
1747,0.6311
1748,0.4217
1749,0.1486
1750,0.3966
1751,0.007181
1752,0.123
1753,0.3711
1754,0.05834
1755,0.03842
1756,1.005
1757,0.04211
1758,0.006216
1759,0.1079
1760,0.7406
1761,0.2053
1762,0.08399
1763,0.06207
1764,0.09048
1765,0.2011
1766,0.4054
1767,0.3371
1768,0.08701
1769,0.3024
1770,0.4676
1771,0.1142
1772,0.316
1773,0.6804
1774,0.1795
1775,0.2094
1776,0.1858
1777,0.08437
1778,0.235
1779,0.3468
1780,0.4716
1781,0.6285
1782,0.06044
1783,0.8632
1784,0.4867
1785,0.7483
1786,0.4225
1787,0.9137
1788,0.02804
1789,0.2369
1790,0.2813
1791,0.1116
1792,0.06421
1793,0.4906
1794,0.5794
1795,0.4669
1796,0.3147
1797,1.005
1798,0.06806
1799,0.4217
1800,0.3641
1801,0.6645
1802,0.4276
1803,0.1785
1804,0.8319
1805,0.382
1806,0.6381
1807,0.6673
1808,0.6011
1809,0.6579
1810,0.1363
1811,0.0544
1812,0.2189
1813,0.2472
1814,0.1952
1815,0.2414
1816,0.4172
1817,0.06809
1818,0.2673
1819,0.1067
1820,0.4213
1821,0.1215
1822,0.4544
1823,0.2051
1824,0.3966
1825,0.1421
1826,0.2198
1827,0.2537
1828,0.3306
1829,0.3701
1830,0.258
1831,0.1202
1832,0.1103
1833,0.4405
1834,0.0835
1835,0.4017
1836,0.06475
1837,0.5319
1838,0.3026
1839,0.2825
1840,0.4714
1841,0.2727
1842,0.9541
1843,0.2415
1844,0.5981
1845,0.08909
1846,0.05801
1847,0.385
1848,0.4891
1849,0.5753
1850,0.04168
1851,0.1093
1852,0.3108
1853,0.7336
1854,0.08451
1855,0.2425
1856,0.6374
1857,0.351
1858,0.2478
1859,0.2413
1860,0.5575
1861,0.2416
1862,0.3839
1863,0.06691
1864,0.01423
1865,0.3814
1866,0.0003228
1867,0.985
1868,0.1403
1869,0.1951
1870,0.01689
1871,0.1571
1872,0.5482
1873,0.3861
1874,0.05143
1875,0.2791
1876,0.6602
1877,0.4583
1878,0.234
1879,0.775
1880,0.09521
1881,0.5034
1882,0.5122
1883,0.6622
1884,0.1269
1885,0.1512
1886,0.4539
1887,0.998
1888,0.1469
1889,0.126
1890,0.06163
1891,0.08752
1892,0.02218
1893,0.5901
1894,0.237
1895,0.2506
