t,deltaS
1501,0.4289
1502,0.1887
1503,0.2449
1504,0.6595
1505,0.7033
1506,-0.1391
1507,0.3239
1508,-0.4013
1509,-0.03126
1510,0.4441
1511,0.4286
1512,0.708
1513,-0.6024
1514,1.487
1515,0.3986
1516,-0.8574
1517,-0.5398
1518,0.4133
1519,0.4673
1520,0.03192
1521,-0.4381
1522,-0.2458
1523,0.6204
1524,1.216
1525,-0.09248
1526,0.3359
1527,1.135
1528,0.5673
1529,-0.04861
1530,-1.046
1531,0.6045
1532,0.5655
1533,0.5102
1534,0.6174
1535,-0.4303
1536,0.4794
1537,-1.41
1538,0.6804
1539,0.5008
1540,0.5581
1541,0.3574
1542,0.5524
1543,-1.025
1544,0.1246
1545,0.6972
1546,0.246
1547,0.41
1548,0.8639
1549,0.6456
1550,0.6892
1551,0.288
1552,-0.646
1553,0.8254
1554,0.2178
1555,-0.1213
1556,-0.1885
1557,-0.1473
1558,0.6714
1559,0.4102
1560,0.3302
1561,0.2864
1562,0.01046
1563,0.6372
1564,0.5497
1565,0.08622
1566,-0.608
1567,-1.502
1568,-0.2513
1569,0.2625
1570,-0.4869
1571,0.7219
1572,-0.9982
1573,0.1183
1574,-0.8865
1575,-0.5398
1576,1.234
1577,-0.3091
1578,-0.6917
1579,0.181
1580,0.06426
1581,0.2325
1582,-0.3658
1583,-0.8238
1584,0.7198
1585,0.3211
1586,0.9635
1587,0.0166
1588,-0.03915
1589,0.04527
1590,0.3326
1591,-0.3118
1592,0.4073
1593,0.5362
1594,0.8546
1595,-0.3158
1596,-0.2815
1597,0.009258
1598,1.04
1599,0.4277
1600,0.2491
1601,0.6679
1602,0.1655
1603,0.1464
1604,-0.826
1605,0.2261
1606,0.2146
1607,0.2892
1608,0.9383
1609,-0.299
1610,0.04145
1611,-0.02329
1612,-0.3133
1613,0.2989
1614,-0.533
1615,-0.3896
1616,0.005274
1617,-0.04997
1618,0.08767
1619,0.3454
1620,-0.8052
1621,0.06723
1622,-0.3321
1623,0.1781
1624,-0.3054
1625,0.9641
1626,1.26
1627,0.6237
1628,-0.6365
1629,-0.09299
1630,-1.49
1631,0.4645
1632,0.5911
1633,-0.3059
1634,1.021
1635,0.9511
1636,0.5409
1637,-0.4358
1638,-0.5391
1639,0.8225
1640,0.2224
1641,-0.7121
1642,0.8884
1643,0.1027
1644,0.8279
1645,-1.361
1646,-0.0904
1647,-0.0963
1648,0.231
1649,0.1309
1650,-0.02911
1651,-1.084
1652,0.1874
1653,0.7536
1654,0.1887
1655,0.2995
1656,0.3983
1657,-1.13
1658,0.2251
1659,0.7077
1660,-0.2616
1661,0.003698
1662,-0.02464
1663,1.116
1664,-0.2342
1665,1.2
1666,0.4392
1667,0.5157
1668,0.1863
1669,-0.2714
1670,0.1876
1671,0.5892
1672,0.2659
1673,0.5651
1674,0.601
1675,0.5556
1676,0.2374
1677,0.7621
1678,0.8452
1679,-0.7951
1680,-1.473
1681,0.2805
1682,-0.4058
1683,0.6742
1684,0.3507
1685,0.319
1686,-0.1583
1687,-0.4904
1688,-0.7613
1689,-0.3563
1690,0.3582
1691,0.06173
1692,-0.8034
1693,-0.3695
1694,-0.4658
1695,0.0003964
1696,0.1996
1697,0.3476
1698,0.1248
1699,-0.01998
1700,0.132
1701,0.7005
1702,0.9035
1703,-0.5728
1704,0.9324
1705,-0.01051
1706,0.06983
1707,-0.2502
1708,0.59
1709,-0.409
1710,-0.3783
1711,-0.377
1712,0.9105
1713,-0.1296
1714,0.7636
1715,0.9316
1716,0.8614
1717,-0.2761
1718,0.5302
1719,0.08285
1720,0.03456
1721,-0.3717
1722,0.515
1723,0.1486
1724,-0.254
1725,-0.2383
1726,-0.5214
1727,0.8485
1728,-0.371
1729,1.166
1730,-0.8982
1731,0.4362
1732,0.9152
1733,0.2236
1734,0.02082
1735,0.4309
1736,-0.1175
1737,-0.01299
1738,-0.2857
1739,-0.7191
1740,0.8247
1741,0.8045
1742,-0.04956
1743,0.1171
1744,0.8621
1745,0.05027
1746,-0.02628
1747,0.5205
1748,0.4099
1749,-0.1253
1750,0.5794
1751,0.2003
1752,0.02583
1753,0.2494
1754,0.8926
1755,0.4618
1756,0.4402
1757,0.2276
1758,-0.662
1759,-0.2392
1760,0.6796
1761,0.1878
1762,-0.6962
1763,0.5418
1764,-0.5588
1765,1.63
1766,0.2718
1767,-0.3107
1768,-1.033
1769,0.286
1770,0.7827
1771,-0.07461
1772,0.3983
1773,0.06868
1774,0.642
1775,0.4833
1776,0.1944
1777,1.078
1778,0.6557
1779,0.1199
1780,0.7409
1781,0.5421
1782,0.6559
1783,-0.006189
1784,0.7001
1785,-0.6703
1786,0.7073
1787,0.8927
1788,-0.2858
1789,0.4751
1790,1.528
1791,0.1666
1792,0.9823
1793,0.1777
1794,0.4421
1795,0.4812
1796,0.3342
1797,-0.6815
1798,-0.8149
1799,0.9833
1800,0.2754
1801,0.1639
1802,0.2348
1803,0.08573
1804,0.8369
1805,0.3873
1806,-0.2932
1807,1.244
1808,1.156
1809,-0.8264
1810,0.08793
1811,0.8682
1812,0.04755
1813,0.5947
1814,-0.04758
1815,-0.02417
1816,0.5787
1817,-0.1745
1818,0.01955
1819,-0.08791
1820,0.6423
1821,-0.02621
1822,0.2027
1823,-0.833
