t,deltaS
1306,0.04255
1307,0.0418
1308,-0.01039
1309,-0.07177
1310,-0.05336
1311,-0.2215
1312,0.06583
1313,-0.1432
1314,0.04405
1315,-0.002472
1316,0.06538
1317,0.05629
1318,-0.1023
1319,0.09097
1320,-0.01687
1321,-0.1792
1322,-0.01505
1323,0.05916
1324,-0.07284
1325,-0.05487
1326,0.005213
1327,0.1161
1328,-0.2227
1329,0.1101
1330,-0.07513
1331,-0.08691
1332,-0.1381
1333,0.04534
1334,-0.07961
1335,0.1589
1336,0.06906
1337,0.08226
1338,-0.005569
1339,-0.05151
1340,-0.009975
1341,-0.02539
1342,0.1107
1343,0.1524
1344,-0.007061
1345,-0.05673
1346,0.2472
1347,0.0004488
1348,0.001096
1349,0.1102
1350,0.04435
1351,0.1516
1352,-0.05266
1353,0.1186
1354,-0.1945
1355,0.0697
1356,-0.2038
1357,-0.01079
1358,0.2034
1359,-0.001189
1360,-0.007947
1361,-0.1127
1362,0.1487
1363,-0.1155
1364,0.1309
1365,-0.09204
1366,-0.1044
1367,0.1179
1368,-0.1367
1369,-0.1144
1370,0.1503
1371,-0.09597
1372,0.08344
1373,-0.08777
1374,-0.01182
1375,-0.1267
1376,-0.04714
1377,-0.09438
1378,-0.04965
1379,-0.1006
1380,-0.1099
1381,0.139
1382,0.01262
1383,-0.06977
1384,-0.0402
1385,0.03584
1386,0.2113
1387,0.06817
1388,-0.09775
1389,-0.1087
1390,-0.04674
1391,0.01541
1392,-0.1588
1393,0.002935
1394,0.1348
1395,0.1513
1396,-0.09525
1397,0.09798
1398,0.06221
1399,0.04051
1400,0.1403
1401,0.04269
1402,0.1028
1403,0.06042
1404,0.002231
1405,0.05873
1406,-0.03631
1407,-0.1056
1408,-0.004346
1409,-0.01177
1410,-0.0275
1411,-0.03019
1412,-0.07746
1413,-0.0272
1414,-0.0833
1415,-0.04551
1416,0.1286
1417,-0.1564
1418,0.1233
1419,0.04291
1420,-0.1743
1421,-0.1136
1422,0.122
1423,0.1191
1424,-0.1221
1425,-0.03053
1426,-0.04174
1427,0.02702
1428,0.07426
1429,0.07551
1430,0.1211
1431,-0.1152
1432,0.04785
1433,-0.03508
1434,0.1416
1435,0.1655
1436,-0.2409
1437,0.151
1438,-0.09281
1439,-0.002801
1440,-0.03538
1441,-0.07445
1442,0.07512
1443,-0.119
1444,-0.06161
1445,-0.04165
1446,-0.129
1447,0.07892
1448,0.01511
1449,0.05859
1450,-0.09693
1451,0.002438
1452,0.01413
1453,-0.2019
1454,0.1807
1455,0.03398
1456,-0.128
1457,0.1196
1458,0.0762
1459,-0.1242
1460,0.1257
1461,-0.01093
1462,-0.06678
1463,0.12
1464,-0.04919
1465,-0.02444
1466,0.05302
1467,-0.00481
1468,0.01358
1469,0.09843
1470,-0.04979
1471,-0.1217
1472,0.04223
1473,0.07437
1474,0.1497
1475,0.1243
1476,-0.02693
1477,-0.006985
1478,-0.111
1479,-0.0651
1480,-0.1942
1481,-0.06712
1482,-0.1757
1483,0.136
1484,0.03682
1485,0.1817
1486,0.03226
1487,0.1611
1488,-0.0608
1489,0.01944
