MDTU,plaq
2587,0.0401544
2588,0.0412168
2589,0.0392732
2590,0.0402766
2591,0.0394768
2592,0.0405914
2593,0.0392944
2594,0.039566
2595,0.0406084
2596,0.0393016
2597,0.0402516
2598,0.0388107
2599,0.0407806
2600,0.0411245
2601,0.0407608
2602,0.0393822
2603,0.039923
2604,0.0410713
2605,0.0392027
2606,0.0400488
2607,0.0379212
2608,0.0391722
2609,0.0392018
2610,0.0406274
2611,0.0387779
2612,0.0411651
2613,0.0396665
2614,0.040731
2615,0.0409404
2616,0.0391664
2617,0.0383081
2618,0.0394186
2619,0.03979
2620,0.0408908
2621,0.0413002
2622,0.0401346
2623,0.0394087
2624,0.0382798
2625,0.0409123
2626,0.0383559
2627,0.0395822
2628,0.0401657
2629,0.0391917
2630,0.0395525
2631,0.0396469
2632,0.0402247
2633,0.0399138
2634,0.0414304
2635,0.0412783
2636,0.0417092
2637,0.0412461
2638,0.0414693
2639,0.0416774
2640,0.0394772
2641,0.0394664
2642,0.0411265
2643,0.0395613
2644,0.0393324
2645,0.0411415
2646,0.0411415
2647,0.0388795
2648,0.0403632
2649,0.0406109
2650,0.0406109
2651,0.0407591
2652,0.0399915
2653,0.0395121
2654,0.0418012
2655,0.0406174
2656,0.0406174
2657,0.0402297
2658,0.0409671
2659,0.0407589
2660,0.0418983
2661,0.0409714
2662,0.0400467
2663,0.0388741
2664,0.0390098
2665,0.0388343
2666,0.0402758
2667,0.0400309
2668,0.0395897
2669,0.0393801
2670,0.0388905
2671,0.0393396
2672,0.03974
2673,0.0407082
2674,0.0388433
2675,0.0410934
2676,0.0396907
2677,0.0420879
2678,0.0402519
2679,0.0400967
2680,0.0392319
2681,0.0407105
2682,0.0407033
2683,0.0412583
2684,0.039547
2685,0.039081
2686,0.0408592
2687,0.0419103
2688,0.0399576
2689,0.040584
2690,0.0402581
2691,0.0416313
2692,0.041103
2693,0.0392365
2694,0.0385213
2695,0.0406313
2696,0.0409147
2697,0.04141
2698,0.0398369
2699,0.0400413
2700,0.040614
2701,0.041606
2702,0.0404673
2703,0.0387777
2704,0.0415086
2705,0.0393986
2706,0.0389813
2707,0.0404677
2708,0.0381251
2709,0.0393097
2710,0.038922
2711,0.0411683
2712,0.04066
2713,0.0402072
2714,0.0386889
2715,0.0390556
2716,0.040553
2717,0.0417012
2718,0.0419696
2719,0.0432248
2720,0.0413592
2721,0.0420092
2722,0.0411157
2723,0.0421727
2724,0.0397168
2725,0.0394023
2726,0.038562
2727,0.0392962
2728,0.0400087
2729,0.0390957
2730,0.0422287
2731,0.0407857
2732,0.0391947
2733,0.0417412
2734,0.041674
2735,0.0412117
2736,0.0397543
2737,0.0422144
2738,0.0398188
2739,0.0403718
2740,0.0414254
2741,0.0396284
2742,0.0389459
2743,0.0409388
2744,0.0417091
2745,0.0411671
2746,0.0404024
2747,0.041592
2748,0.0428973
2749,0.0395945
2750,0.0404456
2751,0.0415123
2752,0.0416289
2753,0.0385035
2754,0.0407494
2755,0.0402563
2756,0.0394549
2757,0.0401613
2758,0.0416155
2759,0.0409292
2760,0.0413513
2761,0.038854
2762,0.0412213
2763,0.0408604
2764,0.0399496
2765,0.0398495
2766,0.0409596
2767,0.0397122
2768,0.0410407
2769,0.0408441
2770,0.0416639
2771,0.0423044
2772,0.040149
2773,0.040149
2774,0.039911
2775,0.0389877
2776,0.0412234
2777,0.0406631
2778,0.0421243
2779,0.0407589
2780,0.0407208
2781,0.0399482
2782,0.0395334
2783,0.0403347
2784,0.0410754
2785,0.0402927
2786,0.0415424
2787,0.040369
2788,0.040897
2789,0.0386925
2790,0.0410868
2791,0.0405354
2792,0.0401687
2793,0.0413994
2794,0.0410043
2795,0.0410649
2796,0.0419356
2797,0.0410792
2798,0.0411036
2799,0.0407118
2800,0.0408411
2801,0.0394297
2802,0.0405122
2803,0.0396676
2804,0.0400895
2805,0.0405359
2806,0.0397022
2807,0.0397492
2808,0.041
2809,0.0408258
2810,0.0408275
2811,0.0405198
2812,0.0400355
2813,0.0402445
2814,0.039132
2815,0.0399568
2816,0.0400383
2817,0.0403175
2818,0.0396942
2819,0.0400148
2820,0.0391893
2821,0.0405917
2822,0.0400002
2823,0.0382147
2824,0.0397486
2825,0.0397388
2826,0.0410835
2827,0.0411307
2828,0.0397213
2829,0.0401718
2830,0.0388357
2831,0.0404006
2832,0.0406727
2833,0.039087
2834,0.038387
2835,0.0418152
2836,0.0381942
2837,0.0376286
2838,0.0400876
2839,0.0418249
2840,0.0405965
2841,0.0397182
2842,0.0381877
2843,0.0405224
2844,0.0386903
2845,0.0398281
2846,0.041401
2847,0.0409042
2848,0.0417034
2849,0.0420122
2850,0.0420122
2851,0.0415692
2852,0.0422343
2853,0.0391551
2854,0.0399175
2855,0.0392509
2856,0.0392509
2857,0.038764
2858,0.0396293
2859,0.0401498
2860,0.0400378
2861,0.0407842
2862,0.0421807
2863,0.0403457
2864,0.0411126
2865,0.0411126
2866,0.0411126
2867,0.0411126
2868,0.039271
2869,0.0405411
2870,0.0401363
2871,0.0389193
2872,0.0393777
2873,0.0393777
2874,0.0394274
2875,0.0394703
2876,0.0405606
2877,0.0422553
2878,0.0403798
2879,0.0420615
2880,0.0409343
2881,0.0422052
2882,0.0407556
2883,0.0416462
2884,0.0416462
2885,0.0416462
2886,0.0419798
2887,0.0381722
2888,0.0401757
2889,0.0415729
2890,0.0404765
2891,0.0406351
2892,0.0417304
2893,0.0424275
2894,0.0424275
2895,0.0414577
2896,0.0413472
2897,0.0407934
2898,0.0406571
2899,0.0405975
2900,0.040073
2901,0.0422989
2902,0.0422615
2903,0.0409524
2904,0.0404502
2905,0.0394468
2906,0.0411543
2907,0.0410253
2908,0.0405889
2909,0.0397702
2910,0.0413823
2911,0.0391537
2912,0.0391729
2913,0.0391729
2914,0.0411614
2915,0.0401348
2916,0.0398195
2917,0.0391001
2918,0.0393369
2919,0.0400013
2920,0.0402191
2921,0.0393999
2922,0.0393251
2923,0.0419398
2924,0.040194
2925,0.0403098
2926,0.0402021
2927,0.0391182
2928,0.0410107
2929,0.039445
2930,0.0396098
2931,0.0395009
2932,0.0380466
2933,0.0391383
2934,0.0415959
2935,0.0416383
2936,0.0400748
2937,0.0394284
2938,0.0394284
2939,0.0414688
2940,0.0403718
2941,0.0416753
2942,0.0416753
2943,0.0416698
2944,0.0405598
2945,0.039716
2946,0.0408248
2947,0.0408882
2948,0.0397293
2949,0.0400153
2950,0.0402182
2951,0.0412219
2952,0.0393726
2953,0.0402668
2954,0.0401713
2955,0.0410918
2956,0.0401044
2957,0.041178
2958,0.0399392
2959,0.040332
2960,0.0407774
2961,0.0392522
2962,0.0402799
2963,0.0400061
2964,0.0414655
2965,0.0414655
2966,0.0399849
2967,0.0409252
2968,0.0399558
2969,0.0419396
2970,0.0403863
2971,0.0409397
2972,0.039469
2973,0.0404526
2974,0.0411047
2975,0.0408779
2976,0.0401016
2977,0.039971
2978,0.039971
2979,0.0417948
2980,0.040948
2981,0.040948
2982,0.0419818
2983,0.0427456
2984,0.0416275
2985,0.0391619
2986,0.039216
2987,0.0402823
2988,0.0402592
2989,0.0410434
2990,0.0398175
2991,0.0385856
2992,0.0388193
2993,0.0394438
2994,0.0391915
2995,0.0395999
2996,0.040147
2997,0.0400333
2998,0.0409705
2999,0.0393491
3000,0.0413023
3001,0.0397481
3002,0.0416111
3003,0.0402824
3004,0.0407512
3005,0.0401098
3006,0.0407937
3007,0.0399683
3008,0.0407318
3009,0.0411374
3010,0.0401366
3011,0.0408791
3012,0.039175
3013,0.0429733
3014,0.0412761
3015,0.0405564
3016,0.0400954
3017,0.0418801
3018,0.0388215
3019,0.0402258
3020,0.0367068
3021,0.0391186
3022,0.0406843
3023,0.0398381
3024,0.0396235
3025,0.0403815
3026,0.0399989
3027,0.0401172
3028,0.0401172
3029,0.0384221
3030,0.0400355
3031,0.0407136
3032,0.0391071
3033,0.0410831
3034,0.039541
3035,0.03958
3036,0.040932
3037,0.0401592
3038,0.038892
3039,0.0423977
3040,0.0414252
3041,0.0401297
3042,0.0420463
3043,0.0415013
3044,0.0401774
3045,0.0414986
3046,0.0414986
3047,0.0413248
3048,0.0410814
3049,0.0420486
3050,0.041036
3051,0.0411762
3052,0.0411762
3053,0.0401793
3054,0.0398454
3055,0.0413344
3056,0.0401313
3057,0.041804
3058,0.0406359
3059,0.0410837
3060,0.0408865
3061,0.0419428
3062,0.0413706
3063,0.0416242
3064,0.0413071
3065,0.0403033
3066,0.0393575
3067,0.0418374
3068,0.0401907
3069,0.0407929
3070,0.0390248
3071,0.0405762
3072,0.0388178
3073,0.0406508
3074,0.0402545
3075,0.0402801
3076,0.0383608
3077,0.0385271
3078,0.0403445
3079,0.0397611
3080,0.039154
3081,0.0408678
3082,0.038653
3083,0.039098
3084,0.0410115
3085,0.0403798
3086,0.039921
3087,0.041517
3088,0.039938
3089,0.0407889
3090,0.0416052
3091,0.0384067
3092,0.0412774
3093,0.0392543
3094,0.0415656
3095,0.0388637
3096,0.0398214
3097,0.0392823
3098,0.0398748
3099,0.0403231
3100,0.0396754
3101,0.0403162
3102,0.0410458
3103,0.0398673
3104,0.03972
3105,0.039439
3106,0.0420354
3107,0.0419752
3108,0.0427639
3109,0.0392287
3110,0.0421168
3111,0.0410202
3112,0.0419164
3113,0.0415355
3114,0.0400639
3115,0.0405246
3116,0.0397886
3117,0.0397886
3118,0.0397886
3119,0.0385409
3120,0.039755
3121,0.041209
3122,0.0394442
3123,0.0406268
3124,0.0405784
3125,0.0412526
3126,0.0405577
3127,0.0415297
3128,0.0402047
3129,0.0401501
3130,0.0410617
3131,0.0408078
3132,0.0412011
3133,0.0413479
3134,0.0392144
3135,0.0404383
3136,0.0410805
3137,0.0390269
3138,0.0404818
3139,0.0398644
3140,0.0382228
3141,0.0394456
3142,0.0387676
3143,0.0384866
3144,0.0389256
3145,0.0404516
3146,0.0417626
3147,0.0406768
3148,0.0415483
3149,0.040761
3150,0.040086
3151,0.0395892
3152,0.0384215
3153,0.0408618
3154,0.0408618
3155,0.0403565
3156,0.0423111
3157,0.0409853
3158,0.0409853
3159,0.0391696
3160,0.0397998
3161,0.0394732
3162,0.0387039
