t,cg_iters
1761,7944
1762,8063
1763,8060
1764,8230
1765,8016
1766,8152
1767,8135
1768,8143
1769,7991
1770,8137
1771,8032
1772,8108
1773,8151
1774,8058
1775,8213
1776,8430
1777,8247
1778,8332
1779,8270
1780,8268
1781,8266
1782,8112
1783,8035
1784,8249
1785,8037
1786,8110
1787,8047
1788,8097
1789,8193
1790,8168
1791,8216
1792,8165
1793,8257
1794,8180
1795,8276
1796,8107
1797,8151
1798,8086
1799,8371
1800,8048
1801,8105
1802,8230
1803,8241
1804,8100
1805,8114
1806,8074
1807,8355
1808,8290
1809,8269
1810,8152
1811,8029
1812,8246
1813,8172
1814,7807
1815,7898
1816,8280
1817,7945
1818,8093
1819,7998
1820,8088
1821,8059
1822,8202
1823,8189
1824,8316
1825,8140
1826,8254
1827,8283
1828,8203
1829,8200
1830,8263
1831,8053
1832,8191
1833,7925
1834,8076
1835,7933
1836,8010
1837,7971
1838,8013
1839,7915
1840,7960
1841,7899
1842,8234
1843,8097
1844,7994
1845,7905
1846,7852
1847,8121
1848,7869
1849,8116
1850,8224
1851,8053
1852,8144
1853,8517
1854,8265
1855,8366
1856,8276
1857,8138
1858,8077
1859,7926
1860,8088
1861,8016
1862,8112
1863,8214
1864,8140
1865,7988
1866,8053
1867,8306
1868,8323
1869,8182
1870,8139
1871,8050
1872,7904
1873,7932
1874,7650
1875,7842
1876,7876
1877,7965
1878,8135
1879,8057
1880,7696
1881,8051
1882,7989
1883,7900
1884,7703
1885,7908
1886,8105
1887,7967
1888,8179
1889,8261
1890,7982
1891,7817
1892,7986
1893,7924
1894,8056
1895,8193
1896,8219
1897,8158
1898,8284
1899,7828
1900,8171
1901,8163
1902,8199
1903,7954
1904,8184
1905,8048
1906,8239
1907,8254
1908,8052
1909,8177
1910,8156
1911,8077
1912,7749
1913,7894
1914,8007
1915,7929
1916,8075
1917,8234
1918,7848
1919,7985
1920,7956
1921,8077
1922,7982
1923,7993
1924,8403
1925,8155
1926,7885
1927,8139
1928,7961
1929,8085
1930,8314
1931,8118
1932,8244
1933,7920
1934,8226
1935,8392
1936,7840
1937,8051
1938,8105
1939,8090
1940,8046
1941,7965
1942,8263
1943,8217
1944,8062
1945,8175
1946,8201
1947,8204
1948,8146
1949,8105
1950,8131
1951,8166
1952,8159
1953,8241
1954,8019
1955,7982
1956,7976
1957,8071
1958,7859
1959,8109
1960,8053
1961,8065
1962,8117
1963,7921
1964,7804
1965,7952
1966,8283
1967,8326
1968,8206
1969,8088
1970,8192
1971,8308
1972,8042
1973,7997
1974,8035
1975,8178
1976,8229
1977,8082
1978,8144
1979,8193
1980,7917
1981,8168
1982,8190
1983,8081
1984,8166
1985,7954
1986,7925
1987,7965
1988,8049
1989,8014
1990,7808
1991,7814
1992,8168
1993,8272
1994,8266
1995,8371
1996,8295
1997,8102
1998,8085
1999,8131
2000,8162
2001,8142
2002,8042
2003,8186
2004,8104
2005,8120
2006,8409
2007,8067
2008,7850
2009,8064
2010,8203
2011,8023
2012,8053
2013,8137
2014,8318
2015,8274
2016,8177
2017,8274
2018,8073
2019,8072
2020,7967
2021,8107
2022,8171
2023,8159
2024,8098
2025,8075
2026,7941
2027,8126
2028,8007
2029,7955
2030,7872
2031,8048
2032,8133
2033,8337
2034,8017
2035,8204
2036,8277
2037,8098
2038,8011
2039,7976
2040,7925
2041,7883
2042,7882
2043,7965
2044,8042
2045,7954
2046,7984
2047,7992
2048,8077
2049,8027
2050,7906
2051,7954
2052,8143
2053,7812
2054,8046
2055,8113
2056,8103
2057,8174
2058,8073
2059,8178
2060,8235
2061,7989
2062,8083
2063,7953
2064,8034
2065,7987
2066,7985
2067,8098
2068,8235
2069,8065
2070,8096
2071,7910
2072,8089
2073,8144
2074,7945
2075,8276
2076,8044
2077,8265
2078,8181
2079,8079
2080,8394
2081,8121
2082,8125
2083,8203
2084,8189
2085,8350
2086,8220
2087,8039
2088,8229
2089,8293
2090,8071
2091,7950
2092,8012
2093,7981
2094,8110
2095,8105
2096,8198
2097,8141
2098,8075
2099,8043
2100,7995
2101,8011
2102,7953
2103,8005
2104,8230
2105,8068
2106,8257
2107,8222
2108,8152
2109,8142
2110,8057
2111,8246
2112,8313
2113,8133
2114,8327
2115,8254
2116,7927
2117,8078
2118,8214
2119,7993
2120,8074
2121,8137
2122,8111
2123,7852
2124,8022
2125,7985
2126,8021
2127,7961
2128,8045
2129,7881
2130,8203
2131,8094
2132,8219
2133,8202
2134,8127
2135,8014
2136,8353
2137,8175
2138,8185
2139,8251
2140,8395
2141,8223
2142,8084
2143,8178
2144,7976
2145,8166
2146,8335
2147,8153
2148,7918
2149,8078
2150,8192
2151,8226
2152,8259
2153,7985
2154,7973
2155,8119
2156,7961
2157,8239
2158,8376
2159,8203
2160,8051
2161,8036
2162,7909
2163,8186
2164,8009
2165,8158
2166,7918
2167,8112
2168,8023
2169,8046
2170,7816
2171,7921
2172,8076
2173,7929
2174,8004
2175,8094
2176,8102
2177,8049
2178,8321
2179,8256
2180,8061
2181,8007
2182,7834
2183,7988
2184,8210
2185,8004
2186,7992
2187,7984
2188,8237
2189,7988
2190,8026
2191,7906
2192,8029
2193,8028
2194,8120
2195,8058
2196,8252
2197,7904
2198,8203
2199,7974
2200,7960
2201,7878
2202,7681
2203,7899
2204,7931
2205,8025
2206,8110
2207,8167
2208,8069
2209,8130
2210,8162
2211,8082
2212,8125
2213,7959
2214,8184
2215,8155
2216,8085
2217,7904
2218,7903
2219,7977
2220,8002
2221,7933
2222,8024
2223,8202
2224,8093
2225,8010
2226,8022
2227,7985
2228,8019
2229,8110
2230,8129
2231,8184
2232,8188
2233,8075
2234,8073
2235,8181
2236,7983
2237,7948
2238,7915
2239,8067
2240,8121
2241,7977
2242,8048
2243,8012
2244,8040
2245,8113
2246,8097
2247,8026
2248,7958
2249,7915
2250,8077
2251,7859
2252,7830
2253,7925
2254,7846
2255,7999
2256,8162
2257,8018
2258,7983
2259,8076
2260,7955
2261,7971
2262,8203
2263,8010
2264,7839
2265,7898
2266,8108
2267,7927
2268,8034
2269,7993
2270,8245
2271,8135
2272,7877
2273,8156
2274,8226
2275,8328
2276,8263
2277,8044
2278,7985
2279,7971
2280,8195
2281,8110
2282,8172
2283,8324
2284,8172
2285,8246
2286,8150
2287,8212
2288,8282
2289,8091
2290,8278
2291,8049
2292,8020
2293,8062
2294,8205
2295,8072
2296,8116
2297,8511
2298,8244
2299,8033
2300,8080
