MDTU,S_B
1503,0.993812
1504,0.994047
1505,0.994047
1506,0.990677
1507,0.997049
1508,0.998628
1509,1.00376
1510,0.997411
1511,0.992902
1512,0.992065
1513,0.992065
1514,0.999383
1515,1.00041
1516,0.999518
1517,1.00361
1518,1.00361
1519,1.00714
1520,1.0048
1521,1.00319
1522,1.00319
1523,0.995685
1524,0.995685
1525,0.988586
1526,0.989753
1527,0.991524
1528,0.994475
1529,0.999849
1530,0.998082
1531,0.998082
1532,0.991007
1533,0.994501
1534,0.99863
1535,1.00047
1536,1.00139
1537,0.992695
1538,0.992695
1539,0.992695
1540,0.992695
1541,1.00162
1542,0.998983
1543,1.00577
1544,1.00464
1545,1.01231
1546,1.01231
1547,1.01231
1548,1.01231
1549,0.990464
1550,0.994111
1551,0.994111
1552,0.990952
1553,0.990952
1554,0.994637
1555,0.994637
1556,0.996797
1557,0.997423
1558,0.997423
1559,0.997423
1560,1.00059
1561,1.00059
1562,1.00059
1563,0.998377
1564,1.00052
1565,0.99313
1566,0.995485
1567,0.995485
1568,0.997178
1569,1.00111
1570,0.996836
1571,0.996836
1572,0.988758
1573,0.99284
1574,1.00028
1575,0.999885
1576,1.00126
1577,0.99675
1578,0.994184
1579,1.0007
1580,1.00886
1581,1.00886
1582,1.00029
1583,1.00029
1584,1.00382
1585,1.00457
1586,0.998445
1587,1.00105
1588,0.995855
1589,0.995855
1590,0.995839
1591,0.994363
1592,1.00005
1593,1.00416
1594,0.992729
1595,1.0024
1596,0.999266
1597,1.00389
1598,0.998771
1599,0.998771
1600,0.997014
1601,0.998347
1602,0.992443
1603,0.996479
1604,0.99448
1605,0.99448
1606,0.999861
1607,0.994789
1608,0.994789
1609,0.994789
1610,1.00256
1611,0.997804
1612,0.993349
1613,0.990983
1614,0.991054
1615,0.991054
1616,1.00196
1617,1.00255
1618,0.991369
1619,0.990427
1620,0.992773
1621,0.993828
1622,0.999513
1623,0.997654
1624,0.996057
1625,0.991023
1626,0.98615
1627,0.998024
1628,0.989962
1629,0.988645
1630,1.00053
1631,0.990651
1632,0.999001
1633,1.00052
1634,1.00167
1635,0.992921
1636,0.992921
1637,0.992921
1638,0.992921
1639,1.00428
1640,1.00501
1641,0.996142
1642,0.996142
1643,0.996142
1644,0.994976
1645,0.996327
1646,0.998978
1647,0.992195
1648,0.996147
1649,0.99817
1650,0.997765
1651,0.996491
1652,0.996491
1653,0.996491
1654,0.98757
1655,0.998848
1656,0.991913
1657,0.994044
1658,0.996279
1659,0.993467
1660,1.00325
1661,0.996125
1662,1.00114
1663,0.991632
1664,0.995592
1665,0.995592
1666,0.995592
1667,0.994096
1668,1.00128
1669,0.999431
1670,0.997029
1671,0.997029
1672,0.993523
1673,1.00172
1674,1.00323
1675,0.997748
1676,0.992986
1677,1.00978
1678,1.0056
1679,0.998627
1680,1.00896
1681,1.01075
1682,1.00333
1683,1.00333
1684,0.997501
1685,0.988888
1686,0.988888
1687,1.00044
1688,0.998711
1689,1.00698
1690,1.00427
1691,1.00467
1692,1.00467
1693,1.00467
1694,1.00467
1695,0.995515
1696,1.00634
1697,1.00634
1698,0.998681
1699,0.991487
1700,0.997481
1701,0.997481
1702,0.997545
1703,0.999866
1704,0.99526
1705,1.00166
1706,0.992865
1707,0.997637
1708,0.989687
1709,0.990102
1710,1.00312
1711,0.995071
1712,1.00048
1713,1.00346
1714,1.00346
1715,1.0032
1716,0.998954
1717,1.00231
1718,1.00231
1719,0.994853
1720,0.994853
1721,0.999553
1722,0.990742
1723,0.99639
1724,0.992331
1725,0.999549
1726,0.999549
1727,0.999549
1728,0.997094
1729,0.995058
1730,0.995489
1731,0.999006
1732,0.991642
1733,0.992951
1734,1.00106
1735,0.999477
1736,1.00373
1737,0.996657
1738,0.996657
1739,1.0024
1740,1.00179
1741,0.992084
1742,0.992084
1743,0.995688
1744,0.995331
1745,1.00097
1746,1.00142
1747,0.999541
1748,1.00023
1749,0.997771
1750,0.995676
1751,0.998553
1752,1.01007
1753,1.00129
1754,1.00031
1755,1.00031
1756,0.993161
1757,0.99796
1758,0.996305
1759,0.986049
1760,0.999761
1761,0.999761
1762,0.999761
1763,0.998252
1764,0.9887
1765,1.00179
1766,0.998741
1767,1.00346
1768,1.00186
1769,0.996767
1770,0.996767
1771,0.991706
1772,0.999016
1773,0.999467
1774,0.992252
1775,0.989788
1776,0.994689
1777,0.989746
1778,0.991157
1779,0.990858
1780,0.990858
1781,0.998541
1782,0.998541
1783,0.994631
1784,0.992698
1785,0.999063
1786,0.999063
1787,0.999063
1788,1.00143
1789,0.995973
1790,0.995973
1791,0.995973
1792,1.00183
1793,1.00471
1794,1.00858
1795,0.998843
1796,0.998843
1797,0.999829
1798,1.00002
1799,1.00432
1800,0.99946
1801,0.99946
1802,0.99801
1803,1.00118
1804,1.00077
1805,1.00016
1806,1.00468
1807,1.00703
1808,1.00687
1809,1.00363
1810,1.00363
1811,1.00363
1812,0.994878
1813,0.994878
1814,0.996691
1815,1.00467
1816,0.99816
1817,1.00258
1818,1.00229
1819,0.999376
1820,1.00468
1821,0.999699
1822,1.00879
1823,1.00879
1824,1.0004
1825,0.990333
1826,0.99521
1827,0.991744
1828,0.994514
1829,0.99752
1830,0.989617
1831,0.997792
1832,0.992518
1833,0.992518
1834,0.992518
1835,0.992518
1836,0.987462
1837,0.992195
1838,0.992195
