MDTU,|Tr(L)|,ReTr(L),ImTr(L)
470,1.2627,-1.20735,-0.369727
471,1.27724,-1.24972,-0.263687
472,1.25593,-1.19619,-0.382734
473,1.36119,-1.34857,-0.184941
474,1.36119,-1.34857,-0.184941
475,1.27133,-1.26698,0.105128
476,1.27133,-1.26698,0.105128
477,1.35374,-1.27471,0.455769
478,1.38968,-1.0845,0.868951
479,1.30955,-1.10428,0.703895
480,1.31856,-1.1172,0.700324
481,1.21742,-1.15298,0.390847
482,1.39987,-1.32119,0.46271
483,1.33146,-1.10067,0.7492
484,1.35659,-0.855283,1.053
485,1.25983,-0.765112,1.00088
486,1.25983,-0.765112,1.00088
487,1.25983,-0.765112,1.00088
488,1.37654,-0.87408,1.06342
489,1.37654,-0.87408,1.06342
490,1.45184,-0.633993,1.3061
491,1.40317,-0.503986,1.30953
492,1.40317,-0.503986,1.30953
493,1.40317,-0.503986,1.30953
494,1.37431,-0.565509,1.25256
495,1.31589,-0.169088,1.30498
496,1.35223,-0.141299,1.34483
497,1.35223,-0.141299,1.34483
498,1.42652,-0.0288089,1.42623
499,1.402,-0.257049,1.37824
500,1.33732,-0.234161,1.31666
501,1.33732,-0.234161,1.31666
502,1.33732,-0.234161,1.31666
503,1.33732,-0.234161,1.31666
504,1.3008,-0.36802,1.24765
505,1.21074,-0.139234,1.2027
506,1.20825,-0.294751,1.17174
507,1.20825,-0.294751,1.17174
508,1.20825,-0.294751,1.17174
509,1.20825,-0.294751,1.17174
510,1.21203,-0.00224942,1.21203
511,1.22494,0.102564,1.22064
512,1.22494,0.102564,1.22064
513,1.22494,0.102564,1.22064
514,1.22756,0.020231,1.2274
515,1.22756,0.020231,1.2274
516,1.20921,0.111367,1.20407
517,1.17743,0.135762,1.16958
518,1.21825,-0.141855,1.20996
519,1.17386,0.0566423,1.17249
520,1.22558,0.122423,1.21945
521,1.1981,-0.129672,1.19107
522,1.29025,-0.472797,1.20051
523,1.18642,-0.328348,1.14008
524,1.16067,-0.362456,1.10263
525,1.17967,-0.480522,1.07737
526,1.13491,-0.474699,1.03086
527,1.13491,-0.474699,1.03086
528,1.13491,-0.474699,1.03086
529,1.13491,-0.474699,1.03086
530,1.22418,-0.727063,0.984886
531,1.27493,-0.815573,0.979938
532,1.37464,-0.852115,1.07867
533,1.17752,-0.606018,1.0096
534,1.35964,-0.319547,1.32155
535,1.39216,-0.209229,1.37635
536,1.39216,-0.209229,1.37635
537,1.21247,0.000106993,1.21247
538,1.40499,-0.0442579,1.40429
539,1.28665,-0.0428648,1.28593
540,1.3736,-0.180462,1.36169
541,1.28906,-0.168152,1.27805
542,1.24176,-0.302369,1.20438
543,1.25272,-0.489877,1.15297
544,1.25272,-0.489877,1.15297
545,1.23556,-0.68978,1.02509
546,1.25939,-0.644582,1.08193
547,1.30187,-0.72711,1.0799
548,1.2094,-0.572756,1.06518
549,1.27309,-0.458336,1.18772
550,1.28424,-0.132736,1.27736
551,1.23783,-0.109964,1.23294
552,1.2136,-0.259527,1.18552
553,1.26104,-0.254568,1.23507
554,1.28691,-0.395927,1.22449
555,1.28691,-0.395927,1.22449
556,1.28691,-0.395927,1.22449
557,1.23207,-0.162703,1.22127
558,1.14915,-0.113312,1.14355
559,1.2876,-0.295974,1.25313
560,1.1868,-0.168671,1.17475
561,1.18115,-0.109608,1.17605
562,1.25775,-0.0593236,1.25635
563,1.19807,-0.0169578,1.19795
564,1.21697,-0.390749,1.15254
565,1.21697,-0.390749,1.15254
566,1.26879,-0.55769,1.13965
567,1.28939,-0.568974,1.15706
568,1.28761,-0.833337,0.981578
569,1.28761,-0.833337,0.981578
570,1.21891,-0.863753,0.860047
571,1.21891,-0.863753,0.860047
572,1.21891,-0.863753,0.860047
573,1.17803,-0.831171,0.834815
574,1.1986,-0.554978,1.06237
575,1.3408,-0.313603,1.30361
576,1.3408,-0.313603,1.30361
577,1.21849,-0.312436,1.17775
578,1.2125,-0.317963,1.17007
579,1.23075,-0.328264,1.18616
580,1.32293,-0.443419,1.2464
581,1.32293,-0.443419,1.2464
582,1.29012,-0.532049,1.1753
583,1.29012,-0.532049,1.1753
584,1.42023,-0.493868,1.3316
585,1.34478,-0.49056,1.25211
586,1.34478,-0.49056,1.25211
587,1.34478,-0.49056,1.25211
588,1.29199,-0.776947,1.03228
589,1.34374,-0.766945,1.10337
590,1.3081,-0.71506,1.09536
591,1.27504,-0.717253,1.05417
592,1.34381,-0.78029,1.09406
593,1.28681,-0.702156,1.07836
594,1.28681,-0.702156,1.07836
595,1.28681,-0.702156,1.07836
596,1.28681,-0.702156,1.07836
597,1.28065,-0.809871,0.992053
598,1.38639,-0.736951,1.1743
599,1.38965,-0.981721,0.983543
600,1.37502,-0.890232,1.04794
601,1.37502,-0.890232,1.04794
602,1.38745,-1.12532,0.811575
603,1.33941,-0.98189,0.911001
604,1.28787,-0.817696,0.994976
605,1.25699,-0.791347,0.976629
606,1.22762,-0.591113,1.07593
607,1.29869,-0.571328,1.16627
608,1.28266,-0.306571,1.24549
609,1.28616,-0.480142,1.19318
610,1.28616,-0.480142,1.19318
611,1.17287,-0.619532,0.995888
612,1.25262,-0.451119,1.16857
613,1.32483,-0.612295,1.17485
614,1.4247,-0.705074,1.238
615,1.4247,-0.705074,1.238
616,1.33548,-0.776629,1.08644
617,1.37278,-0.762717,1.1414
618,1.37278,-0.762717,1.1414
619,1.25157,-0.811672,0.952695
620,1.25157,-0.811672,0.952695
621,1.25157,-0.811672,0.952695
622,1.25157,-0.811672,0.952695
623,1.25064,-0.646599,1.07052
624,1.25064,-0.646599,1.07052
625,1.34793,-0.723698,1.13718
626,1.23177,-0.683982,1.02442
627,1.28243,-0.761709,1.03171
628,1.2743,-0.766101,1.0183
629,1.1539,-0.674076,0.936544
630,1.20257,-0.698539,0.978889
631,1.25306,-0.691046,1.04528
632,1.27471,-0.569554,1.14039
633,1.2142,-0.66965,1.01284
634,1.27717,-0.746344,1.0364
635,1.21744,-0.700493,0.995724
636,1.21699,-0.727268,0.975779
637,1.14181,-0.886703,0.71937
638,1.14181,-0.886703,0.71937
639,1.08844,-0.670859,0.857122
640,1.13077,-0.691788,0.89446
641,1.24089,-0.887195,0.867583
642,1.24089,-0.887195,0.867583
643,1.27572,-0.836635,0.963074
644,1.27572,-0.836635,0.963074
645,1.19065,-0.700283,0.962937
646,1.31278,-0.574593,1.18036
647,1.18663,-0.506505,1.0731
648,1.27986,-0.349526,1.23121
649,1.27986,-0.349526,1.23121
650,1.27452,-0.481903,1.17991
651,1.26519,-0.675998,1.06946
652,1.26519,-0.675998,1.06946
653,1.37923,-0.883826,1.05884
654,1.26501,-0.753566,1.01607
655,1.34445,-0.976051,0.924598
656,1.26481,-0.833654,0.951198
657,1.39057,-1.05166,0.909777
658,1.39057,-1.05166,0.909777
659,1.3099,-1.03244,0.80617
660,1.40137,-1.14765,0.80421
661,1.36386,-1.1739,0.694306
662,1.31846,-1.14687,0.650409
663,1.33592,-1.13561,0.703605
664,1.36155,-1.18028,0.678783
665,1.31986,-1.08847,0.746487
666,1.28944,-1.12085,0.637458
667,1.28944,-1.12085,0.637458
668,1.26857,-1.20954,0.382456
669,1.27324,-1.15933,0.52638
670,1.33059,-1.12404,0.712046
671,1.33059,-1.12404,0.712046
672,1.18565,-1.04598,0.558288
673,1.21613,-1.08712,0.545105
674,1.21049,-1.16563,0.326495
675,1.17364,-1.14436,0.260537
676,1.10086,-0.984772,0.492045
677,1.18521,-1.08239,0.482869
678,1.18521,-1.08239,0.482869
679,1.26148,-1.05724,0.688169
680,1.37726,-1.13578,0.779014
681,1.25088,-1.08862,0.616121
682,1.25088,-1.08862,0.616121
683,1.25088,-1.08862,0.616121
684,1.25088,-1.08862,0.616121
685,1.31942,-1.06321,0.78132
686,1.23821,-1.08579,0.595172
687,1.24935,-1.1607,0.46223
688,1.1514,-1.08904,0.373787
689,1.25345,-1.23774,0.197881
690,1.25345,-1.23774,0.197881
691,1.25683,-1.18356,0.422859
692,1.24194,-1.13548,0.503095
693,1.24194,-1.13548,0.503095
694,1.35585,-1.29033,0.416389
695,1.25847,-1.2083,0.351806
696,1.25847,-1.2083,0.351806
697,1.24368,-1.21512,0.265011
698,1.31212,-1.23252,0.450044
699,1.31212,-1.23252,0.450044
700,1.2882,-1.12569,0.626321
701,1.2882,-1.12569,0.626321
702,1.2882,-1.12569,0.626321
703,1.2463,-1.05575,0.662307
704,1.25087,-0.998191,0.753852
705,1.33496,-1.03268,0.845995
706,1.32682,-0.9521,0.924098
707,1.23915,-0.842888,0.908314
708,1.23915,-0.842888,0.908314
709,1.29683,-0.710929,1.0846
710,1.27049,-0.879286,0.917057
711,1.27049,-0.879286,0.917057
712,1.35448,-1.06057,0.842506
713,1.35448,-1.06057,0.842506
714,1.30035,-0.94062,0.897857
715,1.40215,-0.956522,1.02523
716,1.23589,-0.926296,0.818165
717,1.3032,-0.980078,0.858945
718,1.20076,-0.996543,0.669868
719,1.31592,-1.11317,0.70178
720,1.31592,-1.11317,0.70178
721,1.21611,-1.07422,0.570066
722,1.12288,-0.955443,0.589901
723,1.12288,-0.955443,0.589901
724,1.18583,-1.0989,0.445669
725,1.13136,-1.08644,0.315637
726,1.35317,-1.25629,0.502777
727,1.19983,-1.09201,0.497105
728,1.25778,-1.15161,0.505774
729,1.22714,-1.04335,0.64598
730,1.22461,-1.15547,0.405671
731,1.22461,-1.15547,0.405671
732,1.31527,-1.26765,0.350716
733,1.23546,-1.11437,0.53342
734,1.17608,-1.04959,0.530587
735,1.17608,-1.04959,0.530587
736,1.19449,-1.0039,0.647289
737,1.29745,-0.964785,0.867512
738,1.23488,-0.888462,0.857645
739,1.23488,-0.888462,0.857645
740,1.32994,-0.965487,0.91465
741,1.24283,-0.919173,0.836515
742,1.22729,-0.996404,0.716527
743,1.23288,-0.966259,0.765724
744,1.24979,-0.978005,0.778129
745,1.24979,-0.978005,0.778129
746,1.30549,-0.937152,0.908878
747,1.39916,-1.02394,0.953513
748,1.31743,-1.04894,0.797078
749,1.32658,-0.849395,1.019
750,1.32658,-0.849395,1.019
751,1.32658,-0.849395,1.019
752,1.34826,-0.761185,1.11284
753,1.34826,-0.761185,1.11284
754,1.42673,-0.832751,1.15848
755,1.42673,-0.832751,1.15848
756,1.34714,-0.757623,1.11392
757,1.34714,-0.757623,1.11392
758,1.34714,-0.757623,1.11392
759,1.3755,-0.785113,1.12942
760,1.3755,-0.785113,1.12942
761,1.3538,-0.838806,1.06262
762,1.29351,-0.944131,0.884192
