MDTU,link
1588,0.998161
1589,0.993862
1590,0.998354
1591,1.00263
1592,0.998834
1593,1.00247
1594,0.99889
1595,0.999629
1596,0.999809
1597,1.00134
1598,0.991969
1599,0.993128
1600,0.985727
1601,0.985531
1602,0.994923
1603,0.994923
1604,1.0071
1605,1.0071
1606,1.01437
1607,1.02328
1608,1.02328
1609,1.02328
1610,1.01934
1611,1.01503
1612,1.01216
1613,1.01829
1614,1.01755
1615,1.01755
1616,1.01692
1617,1.00323
1618,1.00271
1619,1.00487
1620,1.00231
1621,1.01215
1622,1.01572
1623,1.0084
1624,1.0084
1625,1.00797
1626,1.00638
1627,0.999212
1628,0.986166
1629,0.986166
1630,0.992534
1631,0.994139
1632,1.00205
1633,1.00641
1634,1.00641
1635,0.990063
1636,0.998422
1637,1.00111
1638,1.00111
1639,1.00332
1640,0.999347
1641,1.00069
1642,1.00534
1643,1.0102
1644,1.00423
1645,1.0083
1646,1.00795
1647,0.994445
1648,0.989242
1649,0.997895
1650,0.987293
1651,0.995392
1652,0.998586
1653,1.00454
1654,1.00231
1655,1.00609
1656,1.00609
1657,1.00609
1658,1.00132
1659,0.99252
1660,0.996089
1661,0.999176
1662,1.00255
1663,1.00925
1664,1.01029
1665,1.01153
1666,1.01153
1667,1.01277
1668,1.01004
1669,1.01294
1670,1.00625
1671,0.996666
1672,1.00865
1673,1.00166
1674,0.997031
1675,0.996519
1676,0.997779
1677,0.997984
1678,0.990523
1679,0.999015
1680,1.00329
1681,1.00711
1682,1.01381
1683,1.01381
1684,1.00139
1685,1.00787
1686,1.00815
1687,0.997288
1688,1.00017
1689,1.00315
1690,1.00193
1691,1.00092
1692,1.00379
1693,1.01115
1694,1.01468
1695,1.00535
1696,0.99988
1697,0.99988
1698,1.00364
1699,0.993712
1700,1.00924
1701,1.00666
1702,1.00417
1703,1.00385
1704,1.01363
1705,1.00963
1706,1.00549
1707,1.00375
1708,0.998353
1709,1.00226
1710,1.01784
1711,1.02245
1712,1.02315
1713,1.01814
1714,1.01814
1715,1.00149
1716,0.990598
1717,0.992853
1718,1.00086
1719,0.994494
1720,0.994494
1721,1.00213
1722,0.995777
1723,1.00227
1724,1.00643
1725,0.99826
1726,1.00719
1727,1.01281
1728,1.01845
1729,1.01904
1730,1.01834
1731,1.03063
1732,1.02582
1733,1.02751
1734,1.02271
1735,1.02092
1736,1.01056
1737,1.00074
1738,1.00423
1739,1.01161
1740,1.00815
1741,1.00532
1742,1.00932
1743,1.00932
1744,1.01174
1745,1.02158
1746,1.02073
1747,1.00922
1748,1.01019
1749,1.01486
1750,1.01182
1751,1.00598
1752,0.996309
1753,1.00498
1754,1.00498
1755,0.997142
1756,1.00188
1757,1.0071
1758,1.0027
1759,0.995545
1760,1.00744
1761,1.01532
1762,1.01532
1763,1.0152
1764,1.01257
1765,1.01454
1766,1.01808
1767,1.0166
1768,1.01543
1769,1.02192
1770,1.02192
1771,1.01969
1772,1.02612
1773,1.02612
1774,1.02917
1775,1.02406
1776,1.01436
1777,1.01551
1778,1.0132
1779,1.01929
1780,1.01929
1781,1.01929
1782,1.0127
1783,1.02094
1784,1.01911
1785,1.01835
1786,1.00644
1787,1.00342
1788,1.00249
1789,1.00249
1790,1.00176
1791,1.00176
1792,1.00717
1793,1.00639
1794,1.00084
1795,0.996243
1796,0.999684
1797,1.01149
1798,1.01642
1799,1.01159
1800,1.01159
1801,1.01159
1802,1.01159
1803,1.01206
1804,1.00825
1805,1.00255
1806,0.997045
1807,0.996206
1808,0.986968
1809,0.99434
1810,0.993463
1811,0.993463
1812,1.00044
1813,0.997455
1814,1.00332
1815,1.00265
1816,1.00265
1817,1.00277
1818,1.00205
1819,1.0011
1820,0.993139
1821,1.00001
1822,1.00001
1823,0.992547
1824,0.992196
1825,1.00248
1826,0.995229
1827,1.00837
1828,0.993443
1829,0.991711
1830,0.991711
1831,0.996761
1832,1.00832
1833,1.00832
1834,1.01242
1835,1.00497
1836,1.0066
1837,1.00561
1838,1.00178
1839,1.00887
1840,0.99768
1841,0.999888
1842,0.999888
1843,0.997022
1844,0.999746
1845,1.00662
1846,1.0015
1847,1.00123
1848,1.00686
1849,0.999854
1850,1.00578
1851,1.01475
1852,1.00171
1853,0.998571
1854,0.996361
1855,1.00571
1856,1.00713
1857,1.00768
1858,1.01266
1859,1.01266
1860,1.00448
1861,1.00448
1862,1.01322
1863,1.01322
1864,1.01322
1865,1.01322
1866,1.01109
1867,1.00504
1868,1.00504
1869,1.00091
1870,0.999932
1871,1.00021
