MDTU,|det-1|^2,1-Re(det),Im(det)
632,0.00384603,0.043645,-2.94187e-05
633,0.00384603,0.043645,-2.94187e-05
634,0.0383063,0.190199,4.23248e-05
635,0.0219113,0.141441,0.000143675
636,0.0843457,-0.28211,0.000158251
637,0.0843457,-0.28211,0.000158251
638,0.0843457,-0.28211,0.000158251
639,0.0158954,-0.11312,0.000124372
640,0.00671279,0.068987,1.37626e-05
641,0.0196353,0.136374,1.967e-05
642,0.0412293,0.20085,4.04192e-05
643,0.0679963,0.259014,3.47933e-06
644,0.00150426,0.011478,2.39979e-05
645,0.00956273,0.09121,2.24015e-05
