MDTU,|Tr(Lx)|
1184,0.218036
1185,0.0943623
1186,0.126374
1187,0.172726
1188,0.158236
1189,0.130362
1190,0.150961
1191,0.164842
1192,0.0936596
1193,0.156914
1194,0.00769121
1195,0.174087
1196,0.213222
1197,0.0729205
1198,0.0729205
1199,0.0777496
1200,0.19599
1201,0.196317
1202,0.145294
1203,0.167173
1204,0.207726
1205,0.207726
1206,0.202165
1207,0.161741
1208,0.161641
1209,0.161641
1210,0.127362
1211,0.0522277
1212,0.0638715
1213,0.134272
1214,0.0507183
1215,0.204638
1216,0.158133
1217,0.217527
1218,0.217527
1219,0.0844303
1220,0.0644452
1221,0.159605
1222,0.159605
1223,0.159605
1224,0.159605
1225,0.0328755
1226,0.0600051
1227,0.156007
1228,0.156007
1229,0.156007
1230,0.156007
1231,0.125642
1232,0.076604
1233,0.076604
1234,0.0705028
1235,0.0542547
1236,0.068085
1237,0.166176
1238,0.215214
1239,0.169112
1240,0.184856
1241,0.225379
1242,0.154945
1243,0.0245417
1244,0.125776
1245,0.0801409
1246,0.0976148
1247,0.11765
1248,0.0968338
1249,0.0572139
1250,0.102607
1251,0.155266
1252,0.0953728
1253,0.130339
1254,0.130339
1255,0.130339
1256,0.130339
1257,0.107298
1258,0.186627
1259,0.186627
1260,0.193488
1261,0.0763531
1262,0.110612
1263,0.108662
1264,0.180552
1265,0.177634
1266,0.181197
1267,0.181197
1268,0.108026
1269,0.142793
1270,0.223703
1271,0.103712
1272,0.16324
1273,0.259867
1274,0.129138
1275,0.129138
1276,0.0328753
1277,0.0328753
1278,0.0971765
1279,0.0489521
1280,0.0489521
1281,0.138202
1282,0.0717147
1283,0.0555365
1284,0.0954493
1285,0.195682
1286,0.129555
1287,0.1329
1288,0.0968119
1289,0.080644
1290,0.138278
1291,0.138278
1292,0.0295025
1293,0.150659
1294,0.0955566
1295,0.198977
1296,0.0516764
1297,0.261742
1298,0.106249
1299,0.0409491
1300,0.0612979
1301,0.0612979
1302,0.0612979
1303,0.119142
1304,0.119142
1305,0.0602494
1306,0.127753
1307,0.064597
1308,0.156273
1309,0.0258724
1310,0.19717
1311,0.219917
1312,0.121486
1313,0.151013
1314,0.0529192
1315,0.136635
1316,0.057199
1317,0.0769528
1318,0.0478272
1319,0.0786728
1320,0.153702
1321,0.258528
1322,0.377485
1323,0.377485
1324,0.247659
1325,0.11751
1326,0.178733
1327,0.128541
1328,0.143251
1329,0.122098
1330,0.0854066
1331,0.186148
1332,0.186148
1333,0.0804858
1334,0.0804858
1335,0.153014
1336,0.100912
1337,0.226319
1338,0.170064
1339,0.112834
1340,0.210357
1341,0.212624
1342,0.203612
1343,0.250237
1344,0.250237
1345,0.298316
1346,0.260942
1347,0.117042
1348,0.0958492
1349,0.0958492
1350,0.0974821
1351,0.070901
1352,0.149581
1353,0.170963
1354,0.120202
1355,0.123122
1356,0.0967887
1357,0.0967887
1358,0.144015
1359,0.0325185
1360,0.182975
1361,0.215963
1362,0.124951
1363,0.0663431
1364,0.159129
1365,0.159129
1366,0.125804
1367,0.125385
1368,0.125385
1369,0.0620994
1370,0.0230772
1371,0.0819017
1372,0.0745511
1373,0.0714503
1374,0.12361
1375,0.12361
1376,0.12361
1377,0.12361
1378,0.208775
1379,0.206679
1380,0.206679
1381,0.157741
1382,0.0775584
1383,0.083065
1384,0.083878
1385,0.083878
1386,0.125572
1387,0.138234
1388,0.132147
1389,0.271445
1390,0.263024
1391,0.141735
1392,0.217206
1393,0.184068
1394,0.159067
1395,0.153051
1396,0.19748
1397,0.19748
1398,0.178673
1399,0.178673
1400,0.178673
1401,0.178673
1402,0.209475
1403,0.0685501
1404,0.034274
1405,0.034274
1406,0.034274
1407,0.0487556
1408,0.0927846
1409,0.162955
1410,0.118193
1411,0.0470872
1412,0.195353
1413,0.0617217
1414,0.166477
1415,0.186245
1416,0.0423456
1417,0.0423456
1418,0.0460548
1419,0.0823472
1420,0.108822
1421,0.11826
1422,0.11826
1423,0.367029
1424,0.266617
1425,0.0650514
1426,0.0488917
1427,0.0759013
1428,0.0759013
1429,0.138371
1430,0.138371
1431,0.180416
1432,0.180416
1433,0.065432
1434,0.138072
1435,0.0711415
1436,0.164775
1437,0.172225
1438,0.140199
1439,0.0319678
1440,0.193212
1441,0.193212
1442,0.0814652
1443,0.0292394
1444,0.194145
1445,0.155972
1446,0.0527215
1447,0.195807
1448,0.136378
1449,0.0559701
1450,0.0433888
1451,0.132456
1452,0.153646
1453,0.216367
1454,0.309773
1455,0.275159
1456,0.261367
1457,0.293349
1458,0.293349
1459,0.20992
1460,0.0652339
1461,0.111169
1462,0.134814
1463,0.214335
1464,0.214335
1465,0.214335
1466,0.123016
1467,0.117139
1468,0.0583551
1469,0.0161181
1470,0.0880414
1471,0.135436
1472,0.106695
1473,0.310731
1474,0.129661
1475,0.114201
1476,0.114867
1477,0.114867
1478,0.16546
1479,0.169926
1480,0.25844
1481,0.238739
1482,0.235227
1483,0.0747964
1484,0.0747964
1485,0.0747964
1486,0.0820444
1487,0.0812143
1488,0.0812143
1489,0.247021
1490,0.247021
1491,0.270621
1492,0.20223
1493,0.183615
1494,0.183615
1495,0.16088
1496,0.0237087
1497,0.147592
1498,0.195132
1499,0.0504176
1500,0.0827933
1501,0.0876942
1502,0.0910961
1503,0.0910961
1504,0.142076
1505,0.0699953
1506,0.14508
1507,0.102694
1508,0.170391
1509,0.107682
1510,0.164369
1511,0.196648
1512,0.17086
1513,0.0793079
1514,0.0793079
1515,0.182761
1516,0.0943445
1517,0.0782688
1518,0.0782688
1519,0.246483
1520,0.108767
1521,0.108767
1522,0.158016
1523,0.0754064
1524,0.248993
1525,0.187994
1526,0.140686
1527,0.302228
1528,0.297403
1529,0.0226643
1530,0.155916
1531,0.15319
1532,0.153203
1533,0.112759
1534,0.198473
1535,0.197356
1536,0.126375
1537,0.193278
1538,0.193278
1539,0.0586488
1540,0.0586488
1541,0.238171
1542,0.280045
1543,0.250612
1544,0.250612
1545,0.138929
1546,0.269278
1547,0.110033
1548,0.0370814
1549,0.120597
1550,0.183581
1551,0.136056
1552,0.0244675
1553,0.133768
1554,0.149199
1555,0.149199
1556,0.111419
1557,0.0751408
1558,0.0751408
1559,0.0751408
1560,0.133575
1561,0.0976259
1562,0.0976259
1563,0.0996642
1564,0.106765
1565,0.106765
1566,0.192231
1567,0.252542
1568,0.182345
1569,0.238538
1570,0.305829
1571,0.172614
1572,0.053771
1573,0.188061
1574,0.164484
1575,0.162812
1576,0.169065
1577,0.261746
1578,0.211832
1579,0.0298663
1580,0.177444
1581,0.213988
1582,0.0272444
1583,0.0761809
1584,0.0203477
1585,0.106375
1586,0.139786
1587,0.0665009
1588,0.121948
1589,0.201589
1590,0.0654521
1591,0.129997
1592,0.0399571
1593,0.0743044
1594,0.161996
1595,0.0438585
1596,0.032821
1597,0.131701
1598,0.13348
1599,0.210977
1600,0.255986
1601,0.270066
1602,0.380308
1603,0.19271
1604,0.0450141
1605,0.205345
1606,0.128765
1607,0.128765
1608,0.193019
1609,0.137442
1610,0.187184
1611,0.155449
1612,0.212625
1613,0.0895203
1614,0.102396
1615,0.102396
1616,0.0904466
1617,0.193057
1618,0.15695
1619,0.113358
1620,0.116623
1621,0.22307
1622,0.110787
1623,0.151789
1624,0.141433
1625,0.141433
1626,0.249422
1627,0.311238
1628,0.242291
1629,0.242291
1630,0.0748799
1631,0.130471
1632,0.1651
1633,0.199875
1634,0.11671
1635,0.0699674
1636,0.0182938
1637,0.0182938
1638,0.0182938
1639,0.114957
1640,0.118562
1641,0.145838
1642,0.145838
1643,0.108707
1644,0.175493
1645,0.0763088
1646,0.18399
1647,0.0544613
1648,0.21076
1649,0.176852
1650,0.0538199
1651,0.0538199
1652,0.0538199
1653,0.0538199
1654,0.0521626
1655,0.247847
1656,0.163065
1657,0.183626
1658,0.0537208
1659,0.100394
1660,0.151648
1661,0.109458
1662,0.163419
1663,0.297906
1664,0.272866
1665,0.272866
1666,0.232012
1667,0.258087
1668,0.275122
1669,0.158667
1670,0.158667
1671,0.0685004
1672,0.102477
1673,0.157431
1674,0.060355
1675,0.116735
1676,0.104207
1677,0.0381346
1678,0.229172
1679,0.0751127
1680,0.136777
1681,0.136777
1682,0.156135
1683,0.156135
1684,0.0906839
1685,0.214158
1686,0.214158
1687,0.214158
1688,0.214158
1689,0.206644
1690,0.110305
1691,0.0946385
